RAW_WORD,NORMALIZED_WORD,MEANING_INDONESIAN,WORD_TYPE,IS_KRAMA
bong,BONG,bakar,Kata Kerja,
borok,BOROK,"luka lama; penyakit kulit di kepala, borok",Kata Benda,
mborok,MBOROK,menjadi borok,,
bosen,BOSEN,bosan;,,
mboseni,MBOSENI,membosankan,,
bosok,BOSOK,busuk,,
bothak,BOTHAK,bagian dari kepala yang tidak di tumbuhi rambut,,
bothok,BOTHOK,nama sejenis masakan sayur,,
boyong,BOYONG,pindah,Kata Kerja,
brabak,BRABAK,memerah (wajah),Kata Kerja,
brahala,BRAHALA,raksasa sebesar gunung; berhala; masalah besar,Kata Benda,
brahmana,BRAHMANA,pendeta,Kata Benda,
bramantya,BRAMANTYA,kemarahan,Kata Benda,
bramantya,BRAMANTYA,marah,Kata Sifat,
brambang,BRAMBANG,bawang merah,Kata Benda,
brangas,BRANGAS,mudah marah,Kata Sifat,
brangkang,BRANGKANG,merangkak,Kata Kerja,
branta,BRANTA,asmara,Kata Benda,
brastha,BRASTHA,"tumpas, berantas",Kata Kerja,
brengkal,BRENGKAL,membalik timbunan,,
brengos,BRENGOS,kumis,Kata Benda,
brindhil,BRINDHIL,habis jarena dicabuti,Kata Sifat,
brobos,BROBOS,masuk melalui celah atau kolong,Kata Kerja,
brodhol,BRODHOL,terlepas ikatannya,Kata Sifat,
brojol,BROJOL,keluar sebelum waktunya; keluar dari bungkusan,Kata Kerja,
bronggal,BRONGGAL,bongkah,,
bronggalan,BRONGGALAN,bongkahan,,
brongkos,BRONGKOS,nama masakan dengan bumbu utama kluwak,Kata Benda,
brongsong,BRONGSONG,membungkus buah-buahan di pohonnya supaya tidak diserang ulat,Kata Kerja,
brudhul,BRUDHUL,keluar berama-ramai/berbarengan,Kata Kerja,
brukut,BRUKUT,terbungkus rapat,Kata Sifat,
brutu,BRUTU,tunggir ayam; kelenjar lemak pada unggas letaknya di atas dubur,Kata Benda,
brèwok,BREWOK,"jambang, brewok",Kata Benda,
bubar,BUBAR,bubar; selesai,Kata Sifat,
bubrah,BUBRAH,rusak,,
bubuk,BUBUK,tidur,Kata Kerja,
bubul,BUBUL,semacam bisul di telapak kaki,Kata Benda,
bubut,BUBUT,cabut,Kata Kerja,
bubuti,BUBUTI,mencabuti,Kata Kerja,
buda,BUDA,rabu,Kata Benda,
budeg,BUDEG,tuli,Kata Sifat,
budeng,BUDENG,kera hitam,Kata Benda,
budhal,BUDHAL,berangkat,Kata Kerja,
budheg,BUDHEG,tuli,Kata Sifat,
budhug,BUDHUG,penyakit kulit,,
bujana,BUJANA,hidangan,Kata Benda,
bujel,BUJEL,tumpul,Kata Sifat,
bulak,BULAK,daerah terbuka/padang,Kata Benda,
bulak,BULAK,pudar warnanya,Kata Sifat,
buluken,BULUKEN,"berjamur, kotor sekali",,
bumbu,BUMBU,bumbu; rempah-rempah,Kata Benda,
bumbung,BUMBUNG,tempat berbentuk pipa besar atau terbuat dari bambu; tabung (dari seruas bambu),Kata Benda,
bumpet,BUMPET,tersumbat,Kata Sifat,
bunder,BUNDER,"bundar, bulat",Kata Sifat,
bundhas,BUNDHAS,"lecet, cedera",Kata Sifat,
babak-bundhas,BABAK-BUNDHAS,"babak-belur, penuh luka",,
bundhel,BUNDHEL,ujungnya membulat,Kata Sifat,
bundhet,BUNDHET,diberi ikatan mati pada ujungnya,Kata Sifat,
bung,BUNG,rebung,Kata Benda,
bungah,BUNGAH,"bahagia, senang hati, gembira",Kata Sifat,
mbungahi,MBUNGAHI,gembira berlebihan,,
bungkem,BUNGKEM,"diam; tidak mau mengatakan apa-apa, membisu",Kata Kerja,
bungkik,BUNGKIK,kerdil,Kata Sifat,
bungkil,BUNGKIL,ampas minyak kacang,Kata Benda,
bungkuk,BUNGKUK,bongkok,,
bungkus,BUNGKUS,"bungkus, kemasan",Kata Benda,
bunglon,BUNGLON,binatang sejenis tokek yang pandai menyesuaikan warna tubuhnya dengan sekelilingnya untuk perlindungan diri,,
bungur,BUNGUR,nama tanaman,Kata Benda,
buntel,BUNTEL,bungkus,Kata Kerja,
buntet,BUNTET,buntu; tidak berongga,Kata Sifat,
buntil,BUNTIL,"masakan terbuat dari kelapa muda, ikan teri dan daun keladi sebagai pembungkus",Kata Benda,
buntu,BUNTU,"buntu, tidak tembus",Kata Sifat,
buntung,BUNTUNG,hilang/patah bagian ujungnya,Kata Sifat,
buntut,BUNTUT,ekor,,
burek,BUREK,legap,Kata Sifat,
bureng,BURENG,tidak jelas terlihat,Kata Sifat,
buri,BURI,belakang,Kata Keadaan,
burik,BURIK,bopeng,Kata Sifat,
buru,BURU,kejar,Kata Kerja,
buruh,BURUH,bekerja untuk orang lain,Kata Benda,
busana,BUSANA,pakaian,Kata Benda,Krama
busana,BUSANA,berpakaian,Kata Kerja,Krama
buthak,BUTHAK,botak,Kata Sifat,
buthek,BUTHEK,keruh,,
buthuk,BUTHUK,membusuk (untuk ikan),Kata Sifat,
butut,BUTUT,jelek karena sudah dimakan umur,,
buwang,BUWANG,buang,Kata Kerja,
buyut,BUYUT,cicit,Kata Benda,
buyuten,BUYUTEN,bagian tubuhnya bergerak-gerak tidak terkendali karena ketuaan,Kata Sifat,
bèbèk,BEBEK,itik,Kata Benda,
bèlèk,BELEK,kotoran mata,Kata Benda,
bèn,BEN,biar,,
bènten,BENTEN,beda,,Krama
bèrèng,BERENG,luka di sudut bibir,Kata Benda,
bèsèr,BESER,sebentar-sebentar kencing,Kata Sifat,
béda,BEDA,goda,Kata Kerja,
béda,BEDA,berbeda,Kata Sifat,
bédhah,BEDHAH,terbuka paksa,Kata Sifat,
béka,BEKA,meronta,Kata Kerja,
béncong,BENCONG,banci,,
bésan,BESAN,orang tua dari menantu,,
cabar,CABAR,kehilangan arti,Kata Sifat,
cabé,CABE,nama rempah untuk jamu; cabai,Kata Benda,
cacah,CACAH,jumlah,Kata Benda,
cacah,CACAH,rajang; cincang,Kata Kerja,
cadhong,CADHONG,menadahkan tangan,Kata Kerja,
cagak,CAGAK,tongkat; penyangga; tiang; pilar,Kata Benda,
cakalan,CAKALAN,salah satu jenis ikan laut,Kata Benda,
cakar,CAKAR,; kuku tajam yang biasa pada hewan karnivora; cakar,Kata Benda,
cakepan,CAKEPAN,lirik lagu,Kata Benda,
cakot,CAKOT,gigit,Kata Kerja,
cakra,CAKRA,senjata dalam pewayangan; lingkaran,Kata Benda,
cakup,CAKUP,mengambil secara acak dengan jumlah banyak,Kata Kerja,
cambah,CAMBAH,tauge,Kata Benda,
camilan,CAMILAN,makanan kecil,,
cancut,CANCUT,siap untuk bekerja,,
candala,CANDALA,jahat,Kata Sifat,
candhak,CANDHAK,pegang,,
candhet,CANDHET,cegah,,Krama
candhik kala,CANDHIK KALA,semburat merah di langit pada saat senja hari,Kata Benda,
candra,CANDRA,bulan,Kata Benda,
candra,CANDRA,kiasan,Kata Benda,
candramawa,CANDRAMAWA,kucing hitam,Kata Benda,
cangak,CANGAK,sejenis burung,,
canggah,CANGGAH,keturunan ke 5,,
cangkem,CANGKEM,mulut,Kata Benda,
cangking,CANGKING,"bawa sebagai tambahan bawaan, jinjing",Kata Kerja,
cangklong,CANGKLONG,pipa,Kata Benda,
cangklong,CANGKLONG,menyandang di bahu (mis. tas; membawa dengan cara digantungkan di bahu,Kata Kerja,
cangklong,CANGKLONG,pipa rokok,,
cangkol,CANGKOL,"gantung, kait",,
cangkriman,CANGKRIMAN,teka-teki,,
cangkruk,CANGKRUK,duduk-duduk sambil ngrumpi,,
canthas,CANTHAS,bicaranya lantang (untuk wanita,Kata Sifat,
cantheng,CANTHENG,"radang di jari, umumnya di ibu jari kaki akibat tertusuk kuku",Kata Benda,
canthing,CANTHING,"alat untuk membatik, untuk menampung lilin sementara sebagai alat batik tulis sebelum di gambarkan ke selembar kain",Kata Benda,
canthol,CANTHOL,"cantol, gantung, kait",Kata Kerja,
canthèl,CANTHEL,sejenis jagung,Kata Benda,
cantrik,CANTRIK,murid padepokan,Kata Benda,
caos,CAOS,Memberi ''(e.g caos dhahar = memberi makan)'',,
capil,CAPIL,"topi petani, bentuknya bulat berujung runcing",Kata Benda,
caping,CAPING,"topi petani, bentuknya bulat berujung runcing, dari anyaman bambu",Kata Benda,
caplak,CAPLAK,penyakit kulit,Kata Benda,
caplok,CAPLOK,memasukkan semua ke dalam mulut,Kata Kerja,
caraka,CARAKA,utusan,Kata Benda,
carang,CARANG,ranting,Kata Benda,
carita,CARITA,cerita,Kata Benda,
carup,CARUP,raup,Kata Kerja,
cathet,CATHET,catat,Kata Kerja,
cathok,CATHOK,"penjepit, ikat pinggang",,
cathèk,CATHEK,gigit (anjing,Kata Kerja,
catur,CATUR,empat,Kata Sifat,
caturan,CATURAN,bercakap-cakap,Kata Kerja,
cawang,CAWANG,"tanda V, centang",Kata Benda,
cawet,CAWET,celana dalam,Kata Benda,
cawik,CAWIK,cebok,Kata Kerja,
cawis,CAWIS,"sedia, saji",Kata Kerja,
cawuk,CAWUK,mengambil dengan cara menyendokkan tangan,Kata Kerja,
cawé-cawé,CAWE-CAWE,"turun tangan, ikut campur",Kata Kerja,
ceblok/ciblok,CEBLOK/CIBLOK,jatuh,,
cecep,CECEP,hisap,,
cedhak,CEDHAK,dekat,Kata Sifat,
cekak,CEKAK,"pendek, pendek sekali; tidak mencukupi; ukurannya tidak memadai;",Kata Sifat,
cekakak/cekakakan,CEKAKAK/CEKAKAKAN,tertawa terbahak-bahak dengan keras,,
cekakik,CEKAKIK,ampas kopi (sisa setelah diminum,Kata Benda,
cekap,CEKAP,cukup (bhs Jawa halus),,Krama
cekel,CEKEL,pegang,Kata Kerja,
ceket,CEKET,menempel dengan kuat,,
cekikik,CEKIKIK,tertawa tertahan,,
ceking,CEKING,kurus kering,,
cekot,CEKOT,ngilu,,
celak,CELAK,dekat,Kata Sifat,Krama
celak,CELAK,"pensil alis, penegas garis tepi mata",Kata Benda,
clathu,CLATHU,berbicara,,
celempung,CELEMPUNG,alat musik bagian dari gamelan,Kata Benda,
celuk,CELUK,panggil,Kata Kerja,
celup,CELUP,memasukkan ke dalam cairan,,
cemani,CEMANI,hitam,Kata Sifat,
cemawis,CEMAWIS,tersedia,Kata Sifat,
cemeng,CEMENG,hitam,Kata Benda,Krama
cemèng,CEMENG,anak kucing,Kata Benda,
cempeh,CEMPEH,tempe belum jadi,,
cemplang,CEMPLANG,"tidak sedap/kurang pas (mis. nada, rasa; hambar; kurang bumbu",Kata Sifat,
cemplon,CEMPLON,"makanan bulat-lonjong, dari singkong diparut, digoreng",,
cempé,CEMPE,anak kambing,,
cemèt,CEMET,"gepeng, pipih karena tertimpa/tertekan beban berat",Kata Sifat,
cendhak/cendhèk,CENDHAK/CENDHEK,pendek; rendah,,
cengkah,CENGKAH,"tidak sefaham, beda pendapat",,
cengkar,CENGKAR,tidak subur (untuk tanah),,
cengkiling,CENGKILING,suka memukul,,
cengkir,CENGKIR,"buah kelapa yang masih sebesar kepalan, belum berdaging buah; kelapa sangat muda (urutan kelapa sesuai umur manggar (bunga)-bluluk-cengkir-degan-kelapa)",Kata Benda,
cengkorongan,CENGKORONGAN,"pola, bentuk dasar, tidak detil",,
cengèngèsan,CENGENGESAN,sikap tidak serius dan melecehkan,,
cepak-cepak,CEPAK-CEPAK,siap-siap,Kata Kerja,
cepak,CEPAK,"tersedia, siap",Kata Sifat,
cepeng,CEPENG,pegang,Kata Kerja,
ceplus,CEPLUS,gigit (untuk cabai,Kata Kerja,
cepuk,CEPUK,"wadah kecil, biasanya untuk menyimpan perhiasan",Kata Benda,
cepèr,CEPER,rata,,
cerek,CEREK,"tanda bunyi ""re"" pada aksara Jawa",Kata Benda,
cerek,CEREK,tanda bunyi “re” pada aksara Jawa,Kata Benda,
ceriwis,CERIWIS,banyak bicara,Kata Sifat,
cetha,CETHA,jelas,Kata Keadaan,
cethak,CETHAK,langit-langit mulut,,
cethèk,CETHEK,dangkal,Kata Kerja,
cethik,CETHIK,menyalakan (api,Kata Kerja,
cethil,CETHIL,pelit,Kata Sifat,
cethot,CETHOT,cubit besar,Kata Kerja,
cèkèr,CEKER,kaki unggas; ceker,Kata Kerja,
cèrèt,CERET,cerek,Kata Benda,
cédhal,CEDHAL,cadel; tidak bisa mengucapkan bunyi tertentu dengan benar; tidak bisa menucapkan huruf 'R',Kata Sifat,
cékat-cèket,CEKAT-CEKET,"segera, sepat",Kata Sifat,
céngkok,CENGKOK,"dialek, lagu",Kata Benda,
céthul,CETHUL,nama ikan kecil,,
cèthok,CETHOK,sendok untuk campuran semen,Kata Benda,
ciblon,CIBLON,"bermain air, variasi dalam menabuh gamelan Jawa",,
ciblèk,CIBLEK,nama burung; anak perempuan yang menjadi pelacur di Yogya dan Semarang.,Kata Benda,
cicil,CICIL,angsur; cicil,Kata Kerja,
cicip,CICIP,merasai,Kata Kerja,
cidhuk,CIDHUK,gayung,Kata Benda,
nyiduk,NYIDUK,mengambil air dengan gayung,Kata Kerja,
cidra,CIDRA,curi; culik,Kata Kerja,
cidra,CIDRA,"ingkar janji, menipu",Kata Kerja,
cikal,CIKAL,"calon, bibit kelapa",Kata Benda,
cikat,CIKAT,"cepat, gesit, segera",Kata Sifat,
cikrak,CIKRAK,serokan sampah dari anyaman bambu,Kata Benda,
cilaka,CILAKA,celaka,Kata Sifat,
cilik,CILIK,kecil,Kata Sifat,
cimit-cimit,CIMIT-CIMIT,mengambil dengan cara sedikit-sedikit karena jijik,Kata Kerja,
cindhil,CINDHIL,anak tikus,Kata Benda,
cingak,CINGAK,"terkejut karena heran, kecele",Kata Sifat,
cingkrang,CINGKRANG,sudah pendek (tentang pakaian),Kata Sifat,
ciprat,CIPRAT,percik,,
nyiprat,NYIPRAT,memercik,,
clandhakan,CLANDHAKAN,suka memegang barang (biasanya milik orang lain) tanpa ijin,,
clekit,CLEKIT,perasaan sakit seperti dicubit atau digigit semut,Kata Benda,
nyelekit,NYELEKIT,memberikan sensasi seperti dicubit/digigit semut; menusuk hati,Kata Kerja,
climèn,CLIMEN,"kecil-kecilan, sederhana",Kata Keadaan,
clingus,CLINGUS,"pemalu, tidak percaya diri",Kata Sifat,
clomètan,CLOMETAN,"berteriak tak beraturan/bersahutan, ngomong sembarangan",Kata Kerja,
cluluk,CLULUK,"tiba-tiba berkata, nyeletuk",Kata Kerja,
clurut,CLURUT,sejenis tikus kecil dengan bau tak sedap,Kata Benda,
cluthak,CLUTHAK,"suka mencuri makanan (untuk hewan, terutama kucing); mau makan apa saja",Kata Sifat,
cocot,COCOT,mulut (kasar),Kata Benda,
codhot,CODHOT,kelelawar,Kata Benda,
cokot,COKOT,gigit,,
nyokot,NYOKOT,menggigit,Kata Kerja,
colok,COLOK,penerangan; obor,Kata Benda,
colong,COLONG,curi,,
nyolong,NYOLONG,mencuri,Kata Kerja,
nyolongan,NYOLONGAN,sering mencuri; suka mencuri; panjang tangan,Kata Sifat,
comot,COMOT,mengambil secara acak,Kata Kerja,
congkrah,CONGKRAH,tidak rukun,Kata Sifat,
congor,CONGOR,"hidung binatang berkaki empat, mulut binatang (kasar), moncong",Kata Benda,
conthèng,CONTHENG,coret silang,Kata Benda,
coplok,COPLOK,"tanggal, cabut, lepas, copot",Kata Sifat,
nyoplok,NYOPLOK,"mencabut, mencopot, melepas, menanggalkan",Kata Kerja,
coro,CORO,kecoa,Kata Benda,
cotho,COTHO,repot karena ditinggalkan; kehilangan andalan,Kata Sifat,
crah,CRAH,bercerai; saling bermusuhan,Kata Keadaan,
craki,CRAKI,pelit,Kata Sifat,
crita,CRITA,cerita,Kata Benda,
nyritakake,NYRITAKAKE,"bercerita, menceritakan",Kata Kerja,
nyrita'aken,NYRITA'AKEN,menceritakan; bercerita,Kata Kerja,Krama
criwis,CRIWIS,"banyak omong, cerewet",Kata Sifat,
cubles,CUBLES,menusuk dengan benda runcing,Kata Kerja,
cubluk,CUBLUK,bodoh,Kata Sifat,
cucakrawa,CUCAKRAWA,nama burung,Kata Benda,
cucuk,CUCUK,paruh,Kata Benda,
nyucuk,NYUCUK,mematuk,Kata Kerja,
cukil,CUKIL,"congkel, cungkil",Kata Kerja,
cul-culan,CUL-CULAN,"tanpa kontrol, tanpa kendali, tanpa pengawasan",Kata Sifat,
culek,CULEK,mencolok (mata),Kata Kerja,
culik,CULIK,mengambil sebagian nasi yang sedang dimasak,Kata Kerja,
cumplung,CUMPLUNG,"tengkorak, kelapa muda yang rontok karena gagal tumbuh, berlubang",Kata Benda,
cumpèn,CUMPEN,"kurang, jauh dari cukup",,
cundhuk,CUNDHUK,tusuk sanggul,Kata Benda,
cundrik,CUNDRIK,"keris kecil; sejenis pisau kecil, biasanya untuk senjata wanita jaman dulu",Kata Benda,
cunduk,CUNDUK,tusuk,Kata Benda,
cungkup,CUNGKUP,atap makam; atap pelindung batu nisan,Kata Benda,
cupar,CUPAR,pelit,Kata Sifat,
cupet,CUPET,terbatas; tidak cukup panjang,Kata Sifat,
cupu,CUPU,"wadah kecil, biasanya untuk menyimpan perhiasan",Kata Benda,
curek,CUREK,kotoran telinga,Kata Benda,
cures,CURES,habis/tertumpas; mati,Kata Sifat,
curiga,CURIGA,keris,Kata Benda,
curiga,CURIGA,"curiga, skeptis",Kata Sifat,
curut,CURUT,tikus bermoncong runcing,Kata Benda,
cuthik,CUTHIK,"tongkat penunjuk, potongan dahan",Kata Benda,
cuwa,CUWA,kecewa,Kata Sifat,
cuwil,CUWIL,mengambil sebagian kecil,Kata Kerja,
cuwil,CUWIL,terkoyak/terpotong/pecah sedikit di bagian tepi,Kata Sifat,
dadak,DADAK,"harus, terpaksa",Kata Benda,
dadakan,DADAKAN,pemicu timbulnya permasalahan,Kata Benda,
dadar,DADAR,makanan/telor digoreng melebar tipis,Kata Benda,
dadi,DADI,jadi,Kata Sifat,
ndadi,NDADI,menjadi-jadi,Kata Sifat,
ndadi,NDADI,"kerasukan, kesurupan",Kata Kerja,
dadèn-dadèn,DADEN-DADEN,jadi-jadian,Kata Sifat,
dados,DADOS,jadi,Kata Sifat,Krama
dagang,DAGANG,berdagang,Kata Kerja,
dahana,DAHANA,api,Kata Benda,
dahuru,DAHURU,huru-hara,Kata Benda,
dahwèn,DAHWEN,suka mencerca,Kata Benda,
dalah,DALAH,dan; bersama dengan,Kata Sambung,
dalan,DALAN,jalan,Kata Benda,
dalem,DALEM,rumah,Kata Benda,
dalu,DALU,malam hari,Kata Benda,
dalu,DALU,malam,Kata Keadaan,
damar,DAMAR,lak,Kata Benda,
damar,DAMAR,"pelita, lampu minyak tanah; sejenis getah pohon untuk bahan cat",Kata Benda,
damel,DAMEL,membuat,Kata Kerja,Krama
dami,DAMI,jerami nangka,Kata Benda,
damu,DAMU,tiup,Kata Kerja,
damèn,DAMEN,"pohon padi, batang padi",Kata Benda,
danawa,DANAWA,raksasa,Kata Benda,
dandan-dandan,DANDAN-DANDAN,memperbaiki bangunan (rumah dsb.),Kata Kerja,
dandan,DANDAN,"bersolek, merias diri",Kata Kerja,
dandang,DANDANG,periuk nasi,Kata Benda,
dandos,DANDOS,perbaiki,Kata Kerja,
dara,DARA,burung dara,Kata Benda,
dara,DARA,betina muda (untuk ayam),Kata Sifat,
darbé,DARBE,"milik, mempunyai",Kata Kerja,
darma,DARMA,"darma, kewajiban dalam hidup",Kata Benda,
dasa,DASA,puluh,Kata Bilangan,
dawa,DAWA,panjang,Kata Sifat,
dawakake,DAWAKAKE,memanjangkan,Kata Kerja,
dawet,DAWET,cendol,Kata Benda,
daya-daya,DAYA-DAYA,bersegera,Kata Keadaan,
degan,DEGAN,kelapa muda,Kata Benda,
deling,DELING,bambu,Kata Benda,
delok/deleng,DELOK/DELENG,lihat,,
demèk,DEMEK,"pegang, sentuh",Kata Kerja,
dengkul,DENGKUL,lutut,Kata Benda,
dika,DIKA,kamu,,
dingkik,DINGKIK,intip,,
dingklik,DINGKLIK,bangku kecil,Kata Benda,
dipun-,DIPUN-,di- (awalan),,Krama
disik,DISIK,terlebih dulu,Kata Keadaan,
dluwang,DLUWANG,kertas,Kata Benda,
dodol,DODOL,berjualan,,
dolan/dolen,DOLAN/DOLEN,bermain,,
dolanan,DOLANAN,"bermain, mainan, permainan",Kata Kerja,
donga/dunga,DONGA/DUNGA,doa,,
donya,DONYA,dunia,,
dora,DORA,tidak terus terang,Kata Keadaan,
doso,DOSO,sepuluh,Kata Sifat,Krama
doyan,DOYAN,senang makan,,
driji,DRIJI,jari,Kata Benda,
drèngès,DRENGES,bunga sirih,Kata Benda,
dubang,DUBANG,ludah merah/ludah orang yang makan sirih,Kata Benda,
dudu,DUDU,bukan,,
duduh,DUDUH,kuah,Kata Benda,
duduh,DUDUH,beritahu,Kata Kerja,
dugang,DUGANG,tendang dengan lutut,Kata Kerja,
duku,DUKU,buah duku,,
dulit,DULIT,colek,Kata Kerja,
dulur,DULUR,saudara,Kata Benda,
dumuk,DUMUK,"sentuh, pegang, rengkuh",Kata Kerja,
dumunung,DUMUNUNG,berada; bertempat,Kata Kerja,
dumèh,DUMEH,mentang-mentang,,
dungarèn,DUNGAREN,tumben,,
dungkap,DUNGKAP,hampir,,
dunung,DUNUNG,tempat,Kata Benda,
dura,DURA,luar; Madura,,
duratmaka,DURATMAKA,pencuri,Kata Benda,
durung,DURUNG,belum,Kata Keadaan,
dustha,DUSTHA,curi,Kata Kerja,
duwa,DUWA,"tentang, lawan, tidak menyetujui",Kata Kerja,
duwé,DUWE,punya,,
dwi,DWI,dua,Kata Bilangan,
dédé,DEDE,bukan,Kata Keadaan,Krama
déning,DENING,oleh,,
déné,DENE,sedangkan,Kata Sambung,
désa,DESA,desa,Kata Benda,
déwa,DEWA,dewa,Kata Benda,
dhadha,DHADHA,dada,Kata Benda,
dhadha,DHADHA,mengakui kesalahan,Kata Kerja,
dhadhak,DHADHAK,getah,Kata Benda,
dhadhakmerak,DHADHAKMERAK,pemain dalam kesenian reog yang memakai hiasan bulu merak di kepalanya,Kata Benda,
dhadhal,DHADHAL,runtuh terbawa arus air,Kata Sifat,
dhadhu,DHADHU,dadu,Kata Benda,
dhadhung,DHADHUNG,tali,Kata Benda,
dhagelan,DHAGELAN,lawak,Kata Benda,
dhahar,DHAHAR,makan,,Krama
dhalan,DHALAN,jalan,Kata Benda,
dhalu,DHALU,malam,,
dhalem,DHALEM,rumah,,
dhalang,DHALANG,dalang,Kata Benda,
dhalang,DHALANG,yang menjalankan wayang,,
dhangka,DHANGKA,tempat asal,Kata Benda,
dhapur,DHAPUR,"dapur, bagian pangkal dari pohon bambu,",,
dhapur,DHAPUR,"wajah, rupa (Jawa kasar)",,
dhawah,DHAWAH,jatuh,Kata Kerja,Krama
dhawuh,DHAWUH,perintah,,Krama
dhawuh,DHAWUH,"ucapan, perintah",Kata Benda,
dhawuh,DHAWUH,memerintahkan,Kata Kerja,
dhayoh,DHAYOH,tamu,Kata Benda,
dhedhes,DHEDHES,mendesak seseorang dengan pertanyaan agar ybs mengaku/membuka rahasia,Kata Kerja,
dhemen,DHEMEN,suka,Kata Kerja,
dhemit,DHEMIT,setan,,
dhidhis,DHIDHIS,mencari kutu di kepala sendiri,Kata Kerja,
dhimas,DHIMAS,panggilan untuk adik,,
dhingklang,DHINGKLANG,pincang,Kata Sifat,
dhingklik,DHINGKLIK,kursi pendek setinggi orang jongkok,,
dhingkluk,DHINGKLUK,tunduk/menghadap ke bawah,Kata Kerja,
dhingkluk,DHINGKLUK,menunduk,,
dhodhog,DHODHOG,ketuk pintu,Kata Kerja,
dhodhok,DHODHOK,jongkok,,
dhodhos,DHODHOS,lubangi dari bawah,Kata Kerja,
dhom,DHOM,jarum,,
dhompol,DHOMPOL,untaian dalam 1 tangkai (untuk buah,Kata Bilangan,
dhondhong,DHONDHONG,nama buah,Kata Benda,
dhongkol,DHONGKOL,mantan pejabat,Kata Benda,
dhoyong,DHOYONG,miring,Kata Sifat,
dhudha,DHUDHA,duda,Kata Benda,
dhuku,DHUKU,buah duku,,
dhupak,DHUPAK,tendang menggunakan tumit,Kata Kerja,
dhusun,DHUSUN,Kelompok masyarakat di bawah desa,,Krama
dhuwur,DHUWUR,tinggi,Kata Sifat,
dhèdhèl,DHEDHEL,terlepas jahitannya,Kata Sifat,
dhèdhès,DHEDHES,bau harum yang keluar dari tubuh musang,Kata Benda,
dhèmpèt,DHEMPET,melekat/rapat,Kata Sifat,
dhèndhèng,DHENDHENG,daging dikeringkan dengan bumbu tertentu,Kata Benda,
dhédhé,DHEDHE,berjemur,Kata Keadaan,
dhéwé,DHEWE,sendiri; sendirian,Kata Keadaan,
eden,EDEN,ejan,Kata Kerja,
elar,ELAR,bulu unggas,Kata Benda,
eluk,ELUK,tekuk,Kata Kerja,
embah,EMBAH,nenek/kakek,Kata Benda,
embuh,EMBUH,entah,Kata Seru,
emoh,EMOH,tidak mau,Kata Kerja,
emplok,EMPLOK,memasukkan ke mulut,Kata Kerja,
empuk,EMPUK,lembut,Kata Sifat,
emut,EMUT,kulum,Kata Kerja,
endas,ENDAS,kepala binatang,Kata Benda,
endi,ENDI,mana,Kata Benda,
endog,ENDOG,telur,Kata Benda,
enek,ENEK,mual,Kata Sifat,
enem,ENEM,enam,Kata Bilangan,
enep,ENEP,endap,Kata Kerja,
ener,ENER,arah,Kata Benda,
enggon,ENGGON,tempat,Kata Benda,
enggèlèk,ENGGELEK,bangkit secara tiba-tiba,Kata Keadaan,
enjing,ENJING,pagi,Kata Benda,
entas,ENTAS,"angkat, ambil",Kata Kerja,
entup,ENTUP,sengat,Kata Benda,
entut,ENTUT,kentut,Kata Benda,
enték,ENTEK,habis,Kata Sifat,
entén-entén,ENTEN-ENTEN,isi jajanan terbuat dari partan kelapa dimasak dengan gula merah,Kata Benda,
entén,ENTEN,tunggu,Kata Kerja,
enyang,ENYANG,tawar (harga,Kata Kerja,
epang,EPANG,dahan,Kata Benda,
epek-epek,EPEK-EPEK,telapak tangan,,
erah,ERAH,ambil,Kata Kerja,
eri,ERI,duri,Kata Benda,
esthi,ESTHI,latih; pelajari,Kata Kerja,
estu,ESTU,"sungguh, jadi",Kata Keadaan,
ésuk,ESUK,pagi,Kata Benda,
èdi,EDI,indah,Kata Sifat,
èlèk,ELEK,jelek,Kata Sifat,
èncèr,ENCER,cair,Kata Sifat,
éca,ECA,enak,Kata Sifat,
édan,EDAN,gila,Kata Sifat,
édhum,EDHUM,terlindung dari sinar matahari,Kata Sifat,
éka,EKA,satu,Kata Bilangan,
éling,ELING,"ingat, sadar",Kata Kerja,
élok,ELOK,"aneh, ajaib",Kata Keadaan,
éman,EMAN,sayang kalau hilang atau rusak,Kata Kerja,
émut,EMUT,ingat,Kata Kerja,
éndah,ENDAH,indah,Kata Sifat,
éndha,ENDHA,berkelit,Kata Kerja,
éndhang,ENDHANG,gadis padepokan,Kata Benda,
éndhang,ENDHANG,jenguk,Kata Kerja,
énggal,ENGGAL,cepat,Kata Keadaan,
énggal,ENGGAL,baru,Kata Sifat,
énggar,ENGGAR,hibur,Kata Kerja,
énggok,ENGGOK,belok,Kata Kerja,
énthong,ENTHONG,sendok nasi,Kata Benda,
énthéng,ENTHENG,ringan,Kata Sifat,
éntuk,ENTUK,"dapat, boleh",Kata Kerja,
éram,ERAM,heran,Kata Kerja,
éthok-éthok,ETHOK-ETHOK,pura-pura,Kata Kerja,
éwa,EWA,kecewa,Kata Sifat,
éwadéné,EWADENE,walaupun demikian,Kata Sambung,
éwah,EWAH,ubah; berubah,Kata Kerja,
éwuh,EWUH,rikuh; serba salah,Kata Kerja,
éyang,EYANG,kakek,Kata Benda,
éyup,EYUP,terlindung dari sinar matahari atau hujan,Kata Sifat,
gabah,GABAH,padi yang telah terlepas dari tangkainya,Kata Benda,
gada,GADA,gada; senjata pemukul,Kata Benda,
